M_th,R_max,R_min,cd,d2s,n,nils,slope,t_dev,thickness
0.28421084566190763,25.69439618098378,0.0032132116931107356,32.00957520252533,0.766451810066878,4.4852145388124836,4.72631615859991,-36.49997574551751,27.22012668678698,30.0
0.46438475952056113,195.4400770968619,0.20461688762432437,32.00518256963095,1.0005869911209009,18.496968239633404,4.726318546844347,-42.45096144679707,31.453328095660975,80.0
0.5325767499753289,32.71674317907204,0.04831173328342015,32.03590356414321,0.529187603601367,5.977918853690204,4.726321738730829,-33.992267964417884,31.641168279117814,30.0
0.34085730294119176,176.6383671607096,2.6005837020549,,nan,16.36509288782311,,,36.402338529152296,30.0
0.4047413308962653,22.062199025378064,0.004202469433075252,31.95909042295121,1.6876575586320783,21.732578801375652,4.72631706723857,-21.89623208125164,9.736678289451683,30.0
0.2928224605616871,27.287643006862158,0.013572881579468947,32.023387388936655,1.4194137418131805,9.48162064431365,4.7263150134675165,-29.103380149642007,65.58939364271754,80.0
0.2980391110378554,42.02539977205379,0.016066474147523657,31.978138409040987,1.9450380157711182,14.62598624591664,4.726318161525542,-23.749656816201725,28.391609074738735,80.0
0.5964550091605003,45.993972737341075,0.06079986044353744,31.962967677232058,0.7127073184305734,27.262109495564335,4.726320218840462,-30.501766622641124,76.2291165207193,30.0
0.39744676588856154,245.8655255402969,0.20886996189879897,31.965770438905665,0.976630553607963,16.60108110855667,4.726316656864326,-32.57398470634697,21.01365163144826,30.0
0.4041603356309457,15.845153483903012,0.02983889180034375,32.00773360467917,1.8402295089797085,17.139028994457306,4.7263167012719975,-22.58119221842237,8.401484811437244,50.0
0.28949748534544656,34.44224844945922,0.5595809590953171,,nan,11.346092388830671,,,96.24683069206264,30.0
0.26385586646992365,20.142625364448858,0.008225975879900052,32.038633327813926,2.394079027065633,28.336974837680646,4.726315074294759,-22.563890462174314,65.95717638815782,50.0
0.4865907731402117,150.56883472267674,1.3572572300937131,,nan,18.34048314489275,,,103.67502635431003,50.0
0.4951461062913162,199.1497737780882,0.4093887047867852,32.06597520817082,0.4389553159301712,5.404631599244786,4.726314400182495,-43.42980572849251,10.193086451726892,30.0
0.34412319830374716,25.12522359770974,0.28852806485338434,31.96127964981673,1.7290552629095508,20.03309661658557,4.726317750934054,-25.885126325567583,8.373087495094662,30.0
0.27331788720606154,18.985059388498982,0.1772636695647721,31.790928522072072,1.3429285350499245,20.115652264158918,4.717745443738682,-125.84517382812007,82.75458910089185,50.0
0.5703993461560526,246.0269416969034,0.22504104114127055,31.992454612260126,0.1700041568732866,4.094149890114797,4.7263167927820176,-61.134479117767576,43.07943366981327,30.0
0.30650718205916394,29.3375737648609,0.005239324515447257,31.99533483376407,1.647251014068357,11.564927649068132,4.726326292228768,-24.63378263808919,9.169404507910574,30.0
0.32205504142855323,87.94927280336866,0.14664818761301865,31.967681438157392,1.8984691695852305,26.171772191502306,4.726316417953704,-28.954056054388783,26.74597428156006,80.0
0.33765706466832957,39.81750323874028,0.0043839730808014595,32.03529057824406,1.4492057358389807,5.7244437043583245,4.726314281380401,-40.34621351343939,8.339469440833465,80.0
0.3359878318542614,235.02952132966544,0.3584201127986641,31.87469014143545,0.986826552101985,11.079960272440939,4.717744293082321,-74.42809137832869,26.84529067327489,80.0
0.5421148766655779,50.59957881737911,0.06968838022573524,32.01927998524256,1.2146501675455506,20.828849595126776,4.72631916391615,-24.642596884826286,23.195037795150448,80.0
0.31951856904700615,27.47957685800008,0.009273610806318408,32.009332748994225,1.083516429510278,7.436849896921292,4.726316128666223,-32.5443644289468,87.16014626819056,80.0
0.2690359878759527,46.835013355712874,0.029532393059756152,31.99745328490627,1.7776118055795829,14.407173415858429,4.726316663453965,-23.80530498488308,11.370209991170043,30.0
0.26939038060284926,178.2953842469706,0.17469778126396235,31.979163995583868,1.0910446245116,14.104756190890509,4.726316165720837,-63.082824201935956,48.46837361690106,50.0
0.3347745268973703,98.94497638076636,0.044068745587129664,32.035496071179736,1.8402295089797085,23.11180778948902,4.7263167012719975,-23.469204789580864,17.69104627547505,50.0
0.3774494732664919,31.97521122354271,0.0032594880454668625,32.02005530837535,1.1178076028705903,5.811046780460856,4.726314460210207,-37.80544700492752,19.495625704561547,80.0
0.32625305000546845,16.526464120798543,0.1772484787318318,32.02284240861552,1.5054579013973486,7.676654054958898,4.7263132018517835,-35.5926862586757,13.130013101504714,50.0
0.3203430189703612,57.02088869662769,0.08182933863537271,31.985922196059974,0.9433986322422252,8.62991765644992,4.7263159509538575,-32.85179111147863,31.383773498182567,30.0
0.4553802562101441,149.41554812373116,0.03202091942225667,32.00596981226511,0.4559937435969888,4.8035331422279635,4.726319779240892,-39.45922602028826,23.251170587128158,50.0
0.43521634190258845,28.876818081261895,0.06426788956695677,31.978790282478286,0.8503349865180607,7.384015855672191,4.726318682157067,-42.95109435361471,61.06526719460423,80.0
0.5175089710514781,136.16669729171346,0.3211972168426264,31.706592534141123,0.6719726674071709,24.17217400618913,4.717743872504349,-217.5548611480774,56.32124240460653,50.0
0.26532582334205507,115.0535663752494,0.3475100211250436,31.886519713236893,0.5273587492701346,5.405668426296632,4.649176706176979,-159.6646364157438,76.81865829627394,80.0
