cd_det,cd_stoch,cell,dose,dose_factor,l_int,ler,lwr,n_eff,se_blur,sigma_diff
22.523167658582448,23.31233492991762,0.0,1.9593684436201255,1.5,13.848019209818522,1.1636032779229064,1.8536795838160476,18.85578059966926,2.5,8.0
31.978174705798075,39.08171914701835,2.0,1.3062456290800837,1.0,8.121887282023362,3.7713176568964197,6.603594634609587,32.29812866901048,2.5,8.0
22.523167658582448,26.549476349162017,2.0,1.9593684436201255,1.5,6.449031710557994,1.799194934795516,2.777431298295711,41.29411116609427,2.5,8.0
31.978174705798075,36.253556162851844,4.3,1.3062456290800837,1.0,10.70384910913139,2.5926778836742193,4.519053346356432,25.31367941983757,2.5,8.0
22.523167658582448,25.484389936683794,4.3,1.9593684436201255,1.5,9.906010869612071,1.3650894011286017,2.1423723827115477,27.68935266639957,2.5,8.0
31.991839867510805,33.505173398276874,0.0,1.3062456290800837,1.0,13.554249847200394,2.114214337543929,3.7595202172151145,19.773158810215246,4.0,8.0
21.98738651322068,22.75630981327495,0.0,1.9593684436201255,1.5,14.471990297311645,1.1457218066644137,1.8428702160088033,18.03388657072402,4.0,8.0
31.991839867510805,39.56468415962039,2.0,1.3062456290800837,1.0,8.382777448327804,3.9538741150251795,6.982878004894841,31.916225518162268,4.0,8.0
21.98738651322068,26.127537897363062,2.0,1.9593684436201255,1.5,6.236891935555766,1.8194252401175284,2.804359318215513,42.68128872864975,4.0,8.0
31.991839867510805,36.43274381888996,4.3,1.3062456290800837,1.0,11.220093886198255,2.676690672057431,4.717355785340873,24.428613551875777,4.0,8.0
21.98738651322068,24.96997399798903,4.3,1.9593684436201255,1.5,10.2501482435982,1.3726287639041304,2.1661140322425307,26.616119736875987,4.0,8.0
32.69620604637742,35.53122651090129,0.0,1.3062456290800837,1.0,15.969736692297097,3.460558428973954,6.714246083994649,17.806108190091965,1.5,12.0
18.17130953985769,19.025315619188085,0.0,1.9593684436201255,1.5,18.806809345200005,1.2346697165795528,2.211209431531045,13.920156725206484,1.5,12.0
32.69620604637742,46.06760106422626,2.0,1.3062456290800837,1.0,8.734886978242331,5.109667823717096,9.220546835842281,31.231363394856366,1.5,12.0
18.17130953985769,23.588004977478093,2.0,1.9593684436201255,1.5,6.397452626721826,2.2352917533688292,3.497015949801053,40.966153697307995,1.5,12.0
32.69620604637742,39.39684856156977,4.3,1.3062456290800837,1.0,12.930542852448827,3.670958693554417,6.704767951484884,21.95104852758892,1.5,12.0
18.17130953985769,22.010160560318532,4.3,1.9593684436201255,1.5,10.525170981662148,1.6075413454279404,2.5409248040232946,25.509212308111106,1.5,12.0
32.824129856450234,35.668512976967165,0.0,1.3062456290800837,1.0,16.15516696381711,3.4963051464015447,6.793109212349598,17.59554688514995,2.5,12.0
17.947413227506754,18.76325416082819,0.0,1.9593684436201255,1.5,19.21003305851134,1.253176023216179,2.2590595154190454,13.639383651427348,2.5,12.0
32.824129856450234,46.494916788901676,2.0,1.3062456290800837,1.0,8.92209368465654,5.138076579770599,9.306436035259384,30.650466339071038,2.5,12.0
17.947413227506754,23.398161354113647,2.0,1.9593684436201255,1.5,6.426272297422239,2.266168024031201,3.5578452764333424,40.79856766140204,2.5,12.0
32.824129856450234,39.60332436088321,4.3,1.3062456290800837,1.0,12.889683788758715,3.7096178468128875,6.767655443524226,22.069955571967554,2.5,12.0
17.947413227506754,21.79188399886042,4.3,1.9593684436201255,1.5,10.665639063293185,1.6401421728065826,2.590193246252477,25.07621013395792,2.5,12.0
33.19578122549723,36.17960977411887,0.0,1.3062456290800837,1.0,16.560433975776547,3.5985658212020906,7.013824426174262,17.196221210539388,4.0,12.0
17.38244818395154,18.144467332076083,0.0,1.9593684436201255,1.5,20.014120358827338,1.2941968886649855,2.3410547093179748,13.107578822088417,4.0,12.0
33.19578122549723,47.805043679342155,2.0,1.3062456290800837,1.0,8.71629455146476,5.156839475284889,9.348537877030111,31.740448123263207,4.0,12.0
17.38244818395154,23.02411706387921,2.0,1.9593684436201255,1.5,5.930885321862202,2.338721646756836,3.661312310120196,44.444465859027645,4.0,12.0
